word,syntax,phonology,semantics,constraints,comments
the,determiner,DH AH,_the,,
a,determiner,AH,_a,,
by,preposition,B AY,_by,,
-s,inflection,Z,_-s,,
-ed,inflection,AH D,_-ed,,
is,auxiliary,IH Z,_is,,
.,EOS,,_EOS,,
chase,verb,CH EY S,_chase action,,
eat,verb,IY T,_eat action,,
drink,noun verb,D R IH NG K,_drink action inanimate liquid drinkable,drinkable,
pet,noun verb,P EH T,_pet action animate animal pet,agent chasable kickable pettable,
kick,noun verb,K IH K,_kick action thrill pleasurable,chasable,
man,noun,M AE N,_man animate human male adult,agent chasable kickable,
woman,noun,W UH M AH N,_woman animate human female adult,agent chasable kickable,
girl,noun,G ER L,_girl animate human female young,agent chasable kickable,
boy,noun,B OY,_boy animate human male young,agent chasable kickable,
cow,noun,K AW,_cow animate animal food,agent edible chasable kickable pettable,
cat,noun,K AE T,_cat animate animal pet,agent chasable kickable pettable,
apple,noun,AE P AH L,_apple inanimate fruit sweet,edible kickable,
tree,noun,T R IY,_tree inanimate plant can_grow,kickable,1 chaseable non kickable and 1 kickable non chasable. 
ball,noun,B AO L,_ball inanimate toy round,chasable kickable,
cup,noun,K AH P,_cup inanimate container tool,kickable drinkable,
stick,noun,S T IH K,_stick inanimate toy tool,chasable kickable,
beer,noun,B IH R,_beer inanimate liquid drinkable,drinkable pettable,wanted to come up with an inanimate pettable. Doesnt really work.
potato,noun,P AH T EY T OW,_potato inanimate plant food,edible,
soup,noun,S UW P,_soup inanimate liquid drinkable,edible drinkable,
hamster,noun,HH AE M S T ER,_hamster animate animal pet,agent chasable pettable,
carrot,noun,K AE R AH T,_carrot inanimate food,edible,
rock,noun,R AA K,_rock inanimate hard tool,pettable kickable,
